,Filename,Label,Sentence
0,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,Law on the Establishment of an Economic Stabilization Fund (Economic Stabilization Fund Act - WStFG) G. v. 27.03.2020 Federal Law Gazette.
1,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,I p. 543 (no.
2,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"14); Valid from March 28th, 2020 4 changes | Printed matter / Draft / Justification | is quoted in 8 regulations Introductory formula Article 1 Amendment to the Financial Market Stabilization Fund Act Article 2 Amendment to the Financial Market Stabilization Acceleration Act Article 3 Amendment to the Banking Act Article 4 Amendment to the Securities Trading Act Article 5 Entry into force Closing formula Introductory formula The Bundestag, with the consent of the Bundesrat, has passed the following law: Table of contents | Print/PDF | to the top Article 1 Amendment of the Financial Market Stabilization Fund Act Article 1 is quoted in 3 regulations and amends as appropriate"
3,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,28th
4,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,March 2020 StFG § 6- § 8- § 10- § 14e- § 15- § 16- § 17- § 18- § 15 (new)- § 16 (new)- § 17 (new)- § 18 (new )- § 19 (new)- § 20 (new)- § 21 (new)- § 22 (new)- § 23 (new)- § 24 (new)- § 25 (new)- § 26 (new)- Section 27 (new) - Section 28 (new) The Financial Market Stabilization Fund Act of 17
5,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,October 2008 (BGBl.
6,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'I p. 1982)- last through Article 7 of the Law of 10.
7,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,July 2018 (BGBl.
8,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,I p. 1102) has been changed - is changed as follows: 1.
9,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,"The designation ""Financial Market Stabilization Fund Act"" is changed to ""Law on the Establishment of a Financial Market and an Economic Stabilization Fund (Stabilization Fund Act)""."
10,011_DEU_2020-03-27c_2022-05-20_10:59:17.4.txt,NONE,'2.
